ticker,entry_date,weekly_expiry,monthly_expiry,slippage_pct,fixed_cost_per_cycle,gross_pnl,net_pnl,raw_close_pnl_no_slippage
SENSEX,2026-02-27,2026-03-05,2026-03-25,1.0,240.0,-8956.97999999999,-9196.97999999999,-7382.0
SENSEX,2026-02-27,2026-03-05,2026-03-25,1.0,320.0,-8956.97999999999,-9276.97999999999,-7382.0
SENSEX,2026-03-06,2026-03-12,2026-03-25,0.0,0.0,325.9999999999927,325.9999999999927,325.9999999999927
SENSEX,2026-03-06,2026-03-12,2026-03-25,0.0,80.0,325.9999999999927,245.99999999999272,325.9999999999927
SENSEX,2026-03-06,2026-03-12,2026-03-25,0.0,160.0,325.9999999999927,165.99999999999272,325.9999999999927
SENSEX,2026-03-06,2026-03-12,2026-03-25,0.0,240.0,325.9999999999927,85.99999999999272,325.9999999999927
SENSEX,2026-03-06,2026-03-12,2026-03-25,0.0,320.0,325.9999999999927,5.999999999992724,325.9999999999927
SENSEX,2026-03-06,2026-03-12,2026-03-25,0.25,0.0,-290.169999999991,-290.169999999991,325.9999999999927
SENSEX,2026-03-06,2026-03-12,2026-03-25,0.25,80.0,-290.169999999991,-370.169999999991,325.9999999999927
SENSEX,2026-03-06,2026-03-12,2026-03-25,0.25,160.0,-290.169999999991,-450.169999999991,325.9999999999927
SENSEX,2026-03-06,2026-03-12,2026-03-25,0.25,240.0,-290.169999999991,-530.169999999991,325.9999999999927
SENSEX,2026-03-06,2026-03-12,2026-03-25,0.25,320.0,-290.169999999991,-610.169999999991,325.9999999999927
SENSEX,2026-03-06,2026-03-12,2026-03-25,0.5,0.0,-906.3399999999856,-906.3399999999856,325.9999999999927
SENSEX,2026-03-06,2026-03-12,2026-03-25,0.5,80.0,-906.3399999999856,-986.3399999999856,325.9999999999927
SENSEX,2026-03-06,2026-03-12,2026-03-25,0.5,160.0,-906.3399999999856,-1066.3399999999856,325.9999999999927
SENSEX,2026-03-06,2026-03-12,2026-03-25,0.5,240.0,-906.3399999999856,-1146.3399999999856,325.9999999999927
SENSEX,2026-03-06,2026-03-12,2026-03-25,0.5,320.0,-906.3399999999856,-1226.3399999999856,325.9999999999927
SENSEX,2026-03-06,2026-03-12,2026-03-25,0.75,0.0,-1522.5100000000057,-1522.5100000000057,325.9999999999927
SENSEX,2026-03-06,2026-03-12,2026-03-25,0.75,80.0,-1522.5100000000057,-1602.5100000000057,325.9999999999927
SENSEX,2026-03-06,2026-03-12,2026-03-25,0.75,160.0,-1522.5100000000057,-1682.5100000000057,325.9999999999927
SENSEX,2026-03-06,2026-03-12,2026-03-25,0.75,240.0,-1522.5100000000057,-1762.5100000000057,325.9999999999927
SENSEX,2026-03-06,2026-03-12,2026-03-25,0.75,320.0,-1522.5100000000057,-1842.5100000000057,325.9999999999927
SENSEX,2026-03-06,2026-03-12,2026-03-25,1.0,0.0,-2138.680000000004,-2138.680000000004,325.9999999999927
SENSEX,2026-03-06,2026-03-12,2026-03-25,1.0,80.0,-2138.680000000004,-2218.680000000004,325.9999999999927
SENSEX,2026-03-06,2026-03-12,2026-03-25,1.0,160.0,-2138.680000000004,-2298.680000000004,325.9999999999927
SENSEX,2026-03-06,2026-03-12,2026-03-25,1.0,240.0,-2138.680000000004,-2378.680000000004,325.9999999999927
SENSEX,2026-03-06,2026-03-12,2026-03-25,1.0,320.0,-2138.680000000004,-2458.680000000004,325.9999999999927
SENSEX,2026-03-13,2026-03-19,2026-03-25,0.0,0.0,1117.0000000000036,1117.0000000000036,1117.0000000000036
SENSEX,2026-03-13,2026-03-19,2026-03-25,0.0,80.0,1117.0000000000036,1037.0000000000036,1117.0000000000036
SENSEX,2026-03-13,2026-03-19,2026-03-25,0.0,160.0,1117.0000000000036,957.0000000000036,1117.0000000000036
SENSEX,2026-03-13,2026-03-19,2026-03-25,0.0,240.0,1117.0000000000036,877.0000000000036,1117.0000000000036
SENSEX,2026-03-13,2026-03-19,2026-03-25,0.0,320.0,1117.0000000000036,797.0000000000036,1117.0000000000036
SENSEX,2026-03-13,2026-03-19,2026-03-25,0.25,0.0,695.5625000000073,695.5625000000073,1117.0000000000036
SENSEX,2026-03-13,2026-03-19,2026-03-25,0.25,80.0,695.5625000000073,615.5625000000073,1117.0000000000036
SENSEX,2026-03-13,2026-03-19,2026-03-25,0.25,160.0,695.5625000000073,535.5625000000073,1117.0000000000036
SENSEX,2026-03-13,2026-03-19,2026-03-25,0.25,240.0,695.5625000000073,455.5625000000073,1117.0000000000036
SENSEX,2026-03-13,2026-03-19,2026-03-25,0.25,320.0,695.5625000000073,375.5625000000073,1117.0000000000036
SENSEX,2026-03-13,2026-03-19,2026-03-25,0.5,0.0,274.1250000000073,274.1250000000073,1117.0000000000036
SENSEX,2026-03-13,2026-03-19,2026-03-25,0.5,80.0,274.1250000000073,194.12500000000728,1117.0000000000036
SENSEX,2026-03-13,2026-03-19,2026-03-25,0.5,160.0,274.1250000000073,114.12500000000728,1117.0000000000036
SENSEX,2026-03-13,2026-03-19,2026-03-25,0.5,240.0,274.1250000000073,34.125000000007276,1117.0000000000036
SENSEX,2026-03-13,2026-03-19,2026-03-25,0.5,320.0,274.1250000000073,-45.874999999992724,1117.0000000000036
SENSEX,2026-03-13,2026-03-19,2026-03-25,0.75,0.0,-147.31250000000364,-147.31250000000364,1117.0000000000036
SENSEX,2026-03-13,2026-03-19,2026-03-25,0.75,80.0,-147.31250000000364,-227.31250000000364,1117.0000000000036
SENSEX,2026-03-13,2026-03-19,2026-03-25,0.75,160.0,-147.31250000000364,-307.31250000000364,1117.0000000000036
SENSEX,2026-03-13,2026-03-19,2026-03-25,0.75,240.0,-147.31250000000364,-387.31250000000364,1117.0000000000036
SENSEX,2026-03-13,2026-03-19,2026-03-25,0.75,320.0,-147.31250000000364,-467.31250000000364,1117.0000000000036
SENSEX,2026-03-13,2026-03-19,2026-03-25,1.0,0.0,-568.7500000000036,-568.7500000000036,1117.0000000000036
SENSEX,2026-03-13,2026-03-19,2026-03-25,1.0,80.0,-568.7500000000036,-648.7500000000036,1117.0000000000036
SENSEX,2026-03-13,2026-03-19,2026-03-25,1.0,160.0,-568.7500000000036,-728.7500000000036,1117.0000000000036
SENSEX,2026-03-13,2026-03-19,2026-03-25,1.0,240.0,-568.7500000000036,-808.7500000000036,1117.0000000000036
SENSEX,2026-03-13,2026-03-19,2026-03-25,1.0,320.0,-568.7500000000036,-888.7500000000036,1117.0000000000036
SENSEX,2026-03-20,2026-03-25,2026-03-25,0.0,0.0,-103.99999999999818,-103.99999999999818,-103.99999999999818
SENSEX,2026-03-20,2026-03-25,2026-03-25,0.0,80.0,-103.99999999999818,-183.99999999999818,-103.99999999999818
SENSEX,2026-03-20,2026-03-25,2026-03-25,0.0,160.0,-103.99999999999818,-263.9999999999982,-103.99999999999818
SENSEX,2026-03-20,2026-03-25,2026-03-25,0.0,240.0,-103.99999999999818,-343.9999999999982,-103.99999999999818
SENSEX,2026-03-20,2026-03-25,2026-03-25,0.0,320.0,-103.99999999999818,-423.9999999999982,-103.99999999999818
SENSEX,2026-03-20,2026-03-25,2026-03-25,0.25,0.0,-321.4200000000001,-321.4200000000001,-103.99999999999818
SENSEX,2026-03-20,2026-03-25,2026-03-25,0.25,80.0,-321.4200000000001,-401.4200000000001,-103.99999999999818
SENSEX,2026-03-20,2026-03-25,2026-03-25,0.25,160.0,-321.4200000000001,-481.4200000000001,-103.99999999999818
SENSEX,2026-03-20,2026-03-25,2026-03-25,0.25,240.0,-321.4200000000001,-561.4200000000001,-103.99999999999818
SENSEX,2026-03-20,2026-03-25,2026-03-25,0.25,320.0,-321.4200000000001,-641.4200000000001,-103.99999999999818
SENSEX,2026-03-20,2026-03-25,2026-03-25,0.5,0.0,-538.8399999999965,-538.8399999999965,-103.99999999999818
SENSEX,2026-03-20,2026-03-25,2026-03-25,0.5,80.0,-538.8399999999965,-618.8399999999965,-103.99999999999818
SENSEX,2026-03-20,2026-03-25,2026-03-25,0.5,160.0,-538.8399999999965,-698.8399999999965,-103.99999999999818
SENSEX,2026-03-20,2026-03-25,2026-03-25,0.5,240.0,-538.8399999999965,-778.8399999999965,-103.99999999999818
SENSEX,2026-03-20,2026-03-25,2026-03-25,0.5,320.0,-538.8399999999965,-858.8399999999965,-103.99999999999818
SENSEX,2026-03-20,2026-03-25,2026-03-25,0.75,0.0,-756.2599999999948,-756.2599999999948,-103.99999999999818
SENSEX,2026-03-20,2026-03-25,2026-03-25,0.75,80.0,-756.2599999999948,-836.2599999999948,-103.99999999999818
SENSEX,2026-03-20,2026-03-25,2026-03-25,0.75,160.0,-756.2599999999948,-916.2599999999948,-103.99999999999818
SENSEX,2026-03-20,2026-03-25,2026-03-25,0.75,240.0,-756.2599999999948,-996.2599999999948,-103.99999999999818
SENSEX,2026-03-20,2026-03-25,2026-03-25,0.75,320.0,-756.2599999999948,-1076.2599999999948,-103.99999999999818
SENSEX,2026-03-20,2026-03-25,2026-03-25,1.0,0.0,-973.6800000000039,-973.6800000000039,-103.99999999999818
SENSEX,2026-03-20,2026-03-25,2026-03-25,1.0,80.0,-973.6800000000039,-1053.680000000004,-103.99999999999818
SENSEX,2026-03-20,2026-03-25,2026-03-25,1.0,160.0,-973.6800000000039,-1133.680000000004,-103.99999999999818
SENSEX,2026-03-20,2026-03-25,2026-03-25,1.0,240.0,-973.6800000000039,-1213.680000000004,-103.99999999999818
SENSEX,2026-03-20,2026-03-25,2026-03-25,1.0,320.0,-973.6800000000039,-1293.680000000004,-103.99999999999818
SENSEX,2026-04-10,2026-04-16,2026-04-30,0.0,0.0,8137.000000000003,8137.000000000003,8137.000000000003
SENSEX,2026-04-10,2026-04-16,2026-04-30,0.0,80.0,8137.000000000003,8057.000000000003,8137.000000000003
SENSEX,2026-04-10,2026-04-16,2026-04-30,0.0,160.0,8137.000000000003,7977.000000000003,8137.000000000003
SENSEX,2026-04-10,2026-04-16,2026-04-30,0.0,240.0,8137.000000000003,7897.000000000003,8137.000000000003
SENSEX,2026-04-10,2026-04-16,2026-04-30,0.0,320.0,8137.000000000003,7817.000000000003,8137.000000000003
SENSEX,2026-04-10,2026-04-16,2026-04-30,0.25,0.0,7767.182500000008,7767.182500000008,8137.000000000003
SENSEX,2026-04-10,2026-04-16,2026-04-30,0.25,80.0,7767.182500000008,7687.182500000008,8137.000000000003
SENSEX,2026-04-10,2026-04-16,2026-04-30,0.25,160.0,7767.182500000008,7607.182500000008,8137.000000000003
SENSEX,2026-04-10,2026-04-16,2026-04-30,0.25,240.0,7767.182500000008,7527.182500000008,8137.000000000003
SENSEX,2026-04-10,2026-04-16,2026-04-30,0.25,320.0,7767.182500000008,7447.182500000008,8137.000000000003
SENSEX,2026-04-10,2026-04-16,2026-04-30,0.5,0.0,7397.365000000007,7397.365000000007,8137.000000000003
SENSEX,2026-04-10,2026-04-16,2026-04-30,0.5,80.0,7397.365000000007,7317.365000000007,8137.000000000003
SENSEX,2026-04-10,2026-04-16,2026-04-30,0.5,160.0,7397.365000000007,7237.365000000007,8137.000000000003
SENSEX,2026-04-10,2026-04-16,2026-04-30,0.5,240.0,7397.365000000007,7157.365000000007,8137.000000000003
