ticker,entry_date,weekly_expiry,monthly_expiry,slippage_pct,fixed_cost_per_cycle,gross_pnl,net_pnl,raw_close_pnl_no_slippage
NIFTY,2025-11-12,2025-11-18,2025-11-25,1.0,160.0,2602.3125000000045,2442.3125000000045,3641.25
NIFTY,2025-11-12,2025-11-18,2025-11-25,1.0,240.0,2602.3125000000045,2362.3125000000045,3641.25
NIFTY,2025-11-12,2025-11-18,2025-11-25,1.0,320.0,2602.3125000000045,2282.3125000000045,3641.25
NIFTY,2025-11-19,2025-11-25,2025-11-25,0.0,0.0,-5550.000000000002,-5550.000000000002,-5550.000000000002
NIFTY,2025-11-19,2025-11-25,2025-11-25,0.0,80.0,-5550.000000000002,-5630.000000000002,-5550.000000000002
NIFTY,2025-11-19,2025-11-25,2025-11-25,0.0,160.0,-5550.000000000002,-5710.000000000002,-5550.000000000002
NIFTY,2025-11-19,2025-11-25,2025-11-25,0.0,240.0,-5550.000000000002,-5790.000000000002,-5550.000000000002
NIFTY,2025-11-19,2025-11-25,2025-11-25,0.0,320.0,-5550.000000000002,-5870.000000000002,-5550.000000000002
NIFTY,2025-11-19,2025-11-25,2025-11-25,0.25,0.0,-5722.987499999997,-5722.987499999997,-5550.000000000002
NIFTY,2025-11-19,2025-11-25,2025-11-25,0.25,80.0,-5722.987499999997,-5802.987499999997,-5550.000000000002
NIFTY,2025-11-19,2025-11-25,2025-11-25,0.25,160.0,-5722.987499999997,-5882.987499999997,-5550.000000000002
NIFTY,2025-11-19,2025-11-25,2025-11-25,0.25,240.0,-5722.987499999997,-5962.987499999997,-5550.000000000002
NIFTY,2025-11-19,2025-11-25,2025-11-25,0.25,320.0,-5722.987499999997,-6042.987499999997,-5550.000000000002
NIFTY,2025-11-19,2025-11-25,2025-11-25,0.5,0.0,-5895.974999999995,-5895.974999999995,-5550.000000000002
NIFTY,2025-11-19,2025-11-25,2025-11-25,0.5,80.0,-5895.974999999995,-5975.974999999995,-5550.000000000002
NIFTY,2025-11-19,2025-11-25,2025-11-25,0.5,160.0,-5895.974999999995,-6055.974999999995,-5550.000000000002
NIFTY,2025-11-19,2025-11-25,2025-11-25,0.5,240.0,-5895.974999999995,-6135.974999999995,-5550.000000000002
NIFTY,2025-11-19,2025-11-25,2025-11-25,0.5,320.0,-5895.974999999995,-6215.974999999995,-5550.000000000002
NIFTY,2025-11-19,2025-11-25,2025-11-25,0.75,0.0,-6068.9625000000015,-6068.9625000000015,-5550.000000000002
NIFTY,2025-11-19,2025-11-25,2025-11-25,0.75,80.0,-6068.9625000000015,-6148.9625000000015,-5550.000000000002
NIFTY,2025-11-19,2025-11-25,2025-11-25,0.75,160.0,-6068.9625000000015,-6228.9625000000015,-5550.000000000002
NIFTY,2025-11-19,2025-11-25,2025-11-25,0.75,240.0,-6068.9625000000015,-6308.9625000000015,-5550.000000000002
NIFTY,2025-11-19,2025-11-25,2025-11-25,0.75,320.0,-6068.9625000000015,-6388.9625000000015,-5550.000000000002
NIFTY,2025-11-19,2025-11-25,2025-11-25,1.0,0.0,-6241.950000000001,-6241.950000000001,-5550.000000000002
NIFTY,2025-11-19,2025-11-25,2025-11-25,1.0,80.0,-6241.950000000001,-6321.950000000001,-5550.000000000002
NIFTY,2025-11-19,2025-11-25,2025-11-25,1.0,160.0,-6241.950000000001,-6401.950000000001,-5550.000000000002
NIFTY,2025-11-19,2025-11-25,2025-11-25,1.0,240.0,-6241.950000000001,-6481.950000000001,-5550.000000000002
NIFTY,2025-11-19,2025-11-25,2025-11-25,1.0,320.0,-6241.950000000001,-6561.950000000001,-5550.000000000002
NIFTY,2025-12-03,2025-12-09,2025-12-30,0.0,0.0,-4795.5,-4795.5,-4795.5
NIFTY,2025-12-03,2025-12-09,2025-12-30,0.0,80.0,-4795.5,-4875.5,-4795.5
NIFTY,2025-12-03,2025-12-09,2025-12-30,0.0,160.0,-4795.5,-4955.5,-4795.5
NIFTY,2025-12-03,2025-12-09,2025-12-30,0.0,240.0,-4795.5,-5035.5,-4795.5
NIFTY,2025-12-03,2025-12-09,2025-12-30,0.0,320.0,-4795.5,-5115.5,-4795.5
NIFTY,2025-12-03,2025-12-09,2025-12-30,0.25,0.0,-5119.676249999991,-5119.676249999991,-4795.5
NIFTY,2025-12-03,2025-12-09,2025-12-30,0.25,80.0,-5119.676249999991,-5199.676249999991,-4795.5
NIFTY,2025-12-03,2025-12-09,2025-12-30,0.25,160.0,-5119.676249999991,-5279.676249999991,-4795.5
NIFTY,2025-12-03,2025-12-09,2025-12-30,0.25,240.0,-5119.676249999991,-5359.676249999991,-4795.5
NIFTY,2025-12-03,2025-12-09,2025-12-30,0.25,320.0,-5119.676249999991,-5439.676249999991,-4795.5
NIFTY,2025-12-03,2025-12-09,2025-12-30,0.5,0.0,-5443.852499999988,-5443.852499999988,-4795.5
NIFTY,2025-12-03,2025-12-09,2025-12-30,0.5,80.0,-5443.852499999988,-5523.852499999988,-4795.5
NIFTY,2025-12-03,2025-12-09,2025-12-30,0.5,160.0,-5443.852499999988,-5603.852499999988,-4795.5
NIFTY,2025-12-03,2025-12-09,2025-12-30,0.5,240.0,-5443.852499999988,-5683.852499999988,-4795.5
NIFTY,2025-12-03,2025-12-09,2025-12-30,0.5,320.0,-5443.852499999988,-5763.852499999988,-4795.5
NIFTY,2025-12-03,2025-12-09,2025-12-30,0.75,0.0,-5768.028749999998,-5768.028749999998,-4795.5
NIFTY,2025-12-03,2025-12-09,2025-12-30,0.75,80.0,-5768.028749999998,-5848.028749999998,-4795.5
NIFTY,2025-12-03,2025-12-09,2025-12-30,0.75,160.0,-5768.028749999998,-5928.028749999998,-4795.5
NIFTY,2025-12-03,2025-12-09,2025-12-30,0.75,240.0,-5768.028749999998,-6008.028749999998,-4795.5
NIFTY,2025-12-03,2025-12-09,2025-12-30,0.75,320.0,-5768.028749999998,-6088.028749999998,-4795.5
NIFTY,2025-12-03,2025-12-09,2025-12-30,1.0,0.0,-6092.205,-6092.205,-4795.5
NIFTY,2025-12-03,2025-12-09,2025-12-30,1.0,80.0,-6092.205,-6172.205,-4795.5
NIFTY,2025-12-03,2025-12-09,2025-12-30,1.0,160.0,-6092.205,-6252.205,-4795.5
NIFTY,2025-12-03,2025-12-09,2025-12-30,1.0,240.0,-6092.205,-6332.205,-4795.5
NIFTY,2025-12-03,2025-12-09,2025-12-30,1.0,320.0,-6092.205,-6412.205,-4795.5
NIFTY,2025-12-10,2025-12-16,2025-12-30,0.0,0.0,-4113.749999999995,-4113.749999999995,-4113.749999999995
NIFTY,2025-12-10,2025-12-16,2025-12-30,0.0,80.0,-4113.749999999995,-4193.749999999995,-4113.749999999995
NIFTY,2025-12-10,2025-12-16,2025-12-30,0.0,160.0,-4113.749999999995,-4273.749999999995,-4113.749999999995
NIFTY,2025-12-10,2025-12-16,2025-12-30,0.0,240.0,-4113.749999999995,-4353.749999999995,-4113.749999999995
NIFTY,2025-12-10,2025-12-16,2025-12-30,0.0,320.0,-4113.749999999995,-4433.749999999995,-4113.749999999995
NIFTY,2025-12-10,2025-12-16,2025-12-30,0.25,0.0,-4381.453124999991,-4381.453124999991,-4113.749999999995
NIFTY,2025-12-10,2025-12-16,2025-12-30,0.25,80.0,-4381.453124999991,-4461.453124999991,-4113.749999999995
NIFTY,2025-12-10,2025-12-16,2025-12-30,0.25,160.0,-4381.453124999991,-4541.453124999991,-4113.749999999995
NIFTY,2025-12-10,2025-12-16,2025-12-30,0.25,240.0,-4381.453124999991,-4621.453124999991,-4113.749999999995
NIFTY,2025-12-10,2025-12-16,2025-12-30,0.25,320.0,-4381.453124999991,-4701.453124999991,-4113.749999999995
NIFTY,2025-12-10,2025-12-16,2025-12-30,0.5,0.0,-4649.156249999987,-4649.156249999987,-4113.749999999995
NIFTY,2025-12-10,2025-12-16,2025-12-30,0.5,80.0,-4649.156249999987,-4729.156249999987,-4113.749999999995
NIFTY,2025-12-10,2025-12-16,2025-12-30,0.5,160.0,-4649.156249999987,-4809.156249999987,-4113.749999999995
