ticker,leg,side,option_type,expiry,strike,entry_date,weekly_expiry,monthly_expiry,scheduled_entry_date,spot,pe_atm,ce_atm,leg4_itm_strikes,spot_timestamp,entry_timestamp,entry_close,exit_timestamp,exit_close,entry_available,exit_available
SENSEX,L4,SELL,CE,2025-10-30,84500.0,2025-10-24,2025-10-30,2025-10-30,2025-10-24,84501.84,84500.0,84600.0,1,2025-10-24 09:30:00+05:30,2025-10-24 09:30:00+05:30,585.0,2025-10-30 15:15:00+05:30,0.65,True,True
SENSEX,L1,BUY,PE,2025-11-27,84500.0,2025-10-31,2025-11-06,2025-11-27,2025-10-31,84586.64,84500.0,84600.0,1,2025-10-31 09:30:00+05:30,2025-10-31 09:30:00+05:30,756.5,2025-11-06 15:15:00+05:30,1259.2,True,True
SENSEX,L2,SELL,PE,2025-11-06,84900.0,2025-10-31,2025-11-06,2025-11-27,2025-10-31,84586.64,84500.0,84600.0,1,2025-10-31 09:30:00+05:30,2025-10-31 09:30:00+05:30,537.9,2025-11-06 15:15:00+05:30,1600.0,True,True
SENSEX,L3,BUY,CE,2025-11-06,84600.0,2025-10-31,2025-11-06,2025-11-27,2025-10-31,84586.64,84500.0,84600.0,1,2025-10-31 09:30:00+05:30,2025-10-31 09:30:00+05:30,535.0,2025-11-06 15:15:00+05:30,0.05,True,True
SENSEX,L4,SELL,CE,2025-11-27,84500.0,2025-10-31,2025-11-06,2025-11-27,2025-10-31,84586.64,84500.0,84600.0,1,2025-10-31 09:30:00+05:30,2025-10-31 09:30:00+05:30,1376.3,2025-11-06 15:15:00+05:30,525.0,True,True
SENSEX,L1,BUY,PE,2025-11-27,82700.0,2025-11-07,2025-11-13,2025-11-27,2025-11-07,82731.84,82700.0,82800.0,1,2025-11-07 09:30:00+05:30,2025-11-07 09:30:00+05:30,669.7,2025-11-13 15:15:00+05:30,160.3,True,True
SENSEX,L2,SELL,PE,2025-11-13,83100.0,2025-11-07,2025-11-13,2025-11-27,2025-11-07,82731.84,82700.0,82800.0,1,2025-11-07 09:30:00+05:30,2025-11-07 09:30:00+05:30,586.0,2025-11-13 15:15:00+05:30,0.1,True,True
SENSEX,L3,BUY,CE,2025-11-13,82800.0,2025-11-07,2025-11-13,2025-11-27,2025-11-07,82731.84,82700.0,82800.0,1,2025-11-07 09:30:00+05:30,2025-11-07 09:30:00+05:30,468.95,2025-11-13 15:15:00+05:30,1709.3,True,True
SENSEX,L4,SELL,CE,2025-11-27,82700.0,2025-11-07,2025-11-13,2025-11-27,2025-11-07,82731.84,82700.0,82800.0,1,2025-11-07 09:30:00+05:30,2025-11-07 09:30:00+05:30,1070.25,,,True,False
SENSEX,L1,BUY,PE,2025-11-27,84200.0,2025-11-14,2025-11-20,2025-11-27,2025-11-14,84293.16,84200.0,84300.0,1,2025-11-14 09:30:00+05:30,2025-11-14 09:30:00+05:30,522.35,2025-11-20 15:15:00+05:30,88.9,True,True
SENSEX,L2,SELL,PE,2025-11-20,84600.0,2025-11-14,2025-11-20,2025-11-27,2025-11-14,84293.16,84200.0,84300.0,1,2025-11-14 09:30:00+05:30,2025-11-14 09:30:00+05:30,565.55,2025-11-20 15:15:00+05:30,0.15,True,True
SENSEX,L3,BUY,CE,2025-11-20,84300.0,2025-11-14,2025-11-20,2025-11-27,2025-11-14,84293.16,84200.0,84300.0,1,2025-11-14 09:30:00+05:30,2025-11-14 09:30:00+05:30,627.1,2025-11-20 15:15:00+05:30,1336.4,True,True
SENSEX,L4,SELL,CE,2025-11-27,84200.0,2025-11-14,2025-11-20,2025-11-27,2025-11-14,84293.16,84200.0,84300.0,1,2025-11-14 09:30:00+05:30,2025-11-14 09:30:00+05:30,979.95,2025-11-20 15:15:00+05:30,1624.95,True,True
SENSEX,L1,BUY,PE,2025-11-27,85500.0,2025-11-21,2025-11-27,2025-11-27,2025-11-21,85523.83,85500.0,85600.0,1,2025-11-21 09:30:00+05:30,2025-11-21 09:30:00+05:30,442.35,2025-11-27 15:15:00+05:30,0.25,True,True
SENSEX,L2,SELL,PE,2025-11-27,85900.0,2025-11-21,2025-11-27,2025-11-27,2025-11-21,85523.83,85500.0,85600.0,1,2025-11-21 09:30:00+05:30,2025-11-21 09:30:00+05:30,641.7,2025-11-27 15:15:00+05:30,178.8,True,True
